scene_id,workflow,aspect,scene_category,scene_name,lab_environment,camera,lighting,product_hero,product_form_detail,compound_id,compound_name,canonical_url,scene_brief,caption_lock,status,rotation_order,last_used_date,source_id,vibe,theme
LI-001,vid_gen_landscape_scenes,16:9,pen_3ml_scene,LI-001 — Beach & Ocean — KPV / BPC-157 / TB-500 / GHK-Cu,A minimalist wellness bottle resting on a weathered wooden pier post at blue hour with water reflections,"16:9 landscape cinematic framing, deep environmental context",Dramatic mood lighting,"3mL research dosage pen of KPV / BPC-157 / TB-500 / GHK-Cu as mid-ground hero in the scene (not extreme macro; no injection act, no people)",3mL pre-filled research dosage pen,P-KLO-001,KPV / BPC-157 / TB-500 / GHK-Cu,https://www.palmbeach-vitality.store/products/klow-pen,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A minimalist wellness bottle resting on a weathered wooden pier post at blue hour with water reflections, as the liquid inside becomes visibly thinner and more fluid in motion. Time-lapse growth and repair happens in the periphery only. Vibe: Dramatic. Theme: Beach & Ocean. Product lock: KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001). Form: 3mL pre-filled research dosage pen. Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. PEN SPEC: 3mL pre-filled research dosage pen. No injection act, no people, no needles in use. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about KPV / BPC-157 / TB-500 / GHK-Cu (P-KLO-001) and https://www.palmbeach-vitality.store/products/klow-pen.,Active,1,,1,Dramatic,Beach & Ocean
LI-002,vid_gen_landscape_scenes,16:9,vial_10ml_scene,LI-002 — Recovery & Healing — KPV / BPC-157 / TB-500 / GHK-Cu,A pure white ceramic-capped vial on a smooth river stone while clear water flows in soft ribbons around it,"16:9 landscape cinematic framing, deep environmental context",Cool mood lighting,"10mL sterile injectable-style glass vial of KPV / BPC-157 / TB-500 / GHK-Cu with rubber stopper + aluminum crimp seal (NEVER black twist/screw cap); mid-ground in scene, not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)",V-KLO-001,KPV / BPC-157 / TB-500 / GHK-Cu,https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A pure white ceramic-capped vial on a smooth river stone while clear water flows in soft ribbons around it, while surrounding water freezes in elegant crystals then melts cleanly. Deep contrast between the sharp product and soft, dreamy background. Vibe: Cool. Theme: Recovery & Healing. Product lock: KPV / BPC-157 / TB-500 / GHK-Cu (V-KLO-001). Form: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp seal only. FORBIDDEN: black twist caps, screw caps, dropper bottles. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about KPV / BPC-157 / TB-500 / GHK-Cu (V-KLO-001) and https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk.,Active,2,,2,Cool,Recovery & Healing
LI-003,vid_gen_landscape_scenes,16:9,lab_scene,LI-003 — Abstract Cellular — KPV / BPC-157 / TB-500 / GHK-Cu,A minimalist wellness bottle floating in pure black void while golden particles slowly orbit,"16:9 landscape cinematic framing, deep environmental context",Dramatic mood lighting,scene product lock via typography / subtle mid-ground research material; no extreme close-up packshot,,V-KLO-001,KPV / BPC-157 / TB-500 / GHK-Cu,https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A minimalist wellness bottle floating in pure black void while golden particles slowly orbit, as surrounding particles are drawn inward like gravity. Reflections and refractions in the glass create secondary visual interest. Vibe: Dramatic. Theme: Abstract Cellular. Product lock: KPV / BPC-157 / TB-500 / GHK-Cu (V-KLO-001). Form: research catalog material. Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about KPV / BPC-157 / TB-500 / GHK-Cu (V-KLO-001) and https://www.palmbeach-vitality.store/products/klow-kpv-bpc-157-tb-500-ghk.,Active,3,,3,Dramatic,Abstract Cellular
LI-004,vid_gen_landscape_scenes,16:9,pen_3ml_scene,LI-004 — Energy & Cellular Power — MOTS-C,A matte-black peptide pen catching a single snowflake that melts the instant it lands,"16:9 landscape cinematic framing, deep environmental context",Cool mood lighting,"3mL research dosage pen of MOTS-C as mid-ground hero in the scene (not extreme macro; no injection act, no people)",3mL pre-filled research dosage pen,P-MOT-001,MOTS-C,https://www.palmbeach-vitality.store/products/mots-c,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A matte-black peptide pen catching a single snowflake that melts the instant it lands, while surrounding water freezes in elegant crystals then melts cleanly. Extreme slow-motion emphasizes every micro-movement of liquid and light. Vibe: Cool. Theme: Energy & Cellular Power. Product lock: MOTS-C (P-MOT-001). Form: 3mL pre-filled research dosage pen. Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. PEN SPEC: 3mL pre-filled research dosage pen. No injection act, no people, no needles in use. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about MOTS-C (P-MOT-001) and https://www.palmbeach-vitality.store/products/mots-c.,Active,4,,4,Cool,Energy & Cellular Power
LI-005,vid_gen_landscape_scenes,16:9,vial_10ml_scene,LI-005 — Abstract Cellular — MOTS-C,A glowing amber wellness vial on a cracked stone surface that seals and smooths itself,"16:9 landscape cinematic framing, deep environmental context",Dramatic mood lighting,"10mL sterile injectable-style glass vial of MOTS-C with rubber stopper + aluminum crimp seal (NEVER black twist/screw cap); mid-ground in scene, not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)",V-MOT-001,MOTS-C,https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A glowing amber wellness vial on a cracked stone surface that seals and smooths itself, as the liquid inside becomes visibly thinner and more fluid in motion. A gentle breeze moves surrounding elements without disturbing the product. Vibe: Dramatic. Theme: Abstract Cellular. Product lock: MOTS-C (V-MOT-001). Form: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp seal only. FORBIDDEN: black twist caps, screw caps, dropper bottles. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about MOTS-C (V-MOT-001) and https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial.,Active,5,,5,Dramatic,Abstract Cellular
LI-006,vid_gen_landscape_scenes,16:9,lab_scene,LI-006 — Abstract Cellular — MOTS-C,A minimalist wellness bottle on a smooth river stone while clear water flows in soft ribbons around it,"16:9 landscape cinematic framing, deep environmental context",Fun mood lighting,scene product lock via typography / subtle mid-ground research material; no extreme close-up packshot,,V-MOT-001,MOTS-C,https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A minimalist wellness bottle on a smooth river stone while clear water flows in soft ribbons around it, with the product perfectly balanced on the edge of a surface that looks unstable. Soft volumetric god-rays cut through the scene. Vibe: Fun. Theme: Abstract Cellular. Product lock: MOTS-C (V-MOT-001). Form: research catalog material. Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about MOTS-C (V-MOT-001) and https://www.palmbeach-vitality.store/products/mots-c-10mg-5ml-vial.,Active,6,,6,Fun,Abstract Cellular
LI-007,vid_gen_landscape_scenes,16:9,vial_10ml_scene,LI-007 — Recovery & Healing — NAD+,A sleek glass peptide vial inside a large clear ice block that slowly melts away,"16:9 landscape cinematic framing, deep environmental context",Dramatic mood lighting,"10mL sterile injectable-style glass vial of NAD+ with rubber stopper + aluminum crimp seal (NEVER black twist/screw cap); mid-ground in scene, not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)",V-NAD-001,NAD+,https://www.palmbeach-vitality.store/products/nad-1,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A sleek glass peptide vial inside a large clear ice block that slowly melts away, as one central vial remains still while others orbit it in slow motion. Reflections and refractions in the glass create secondary visual interest. Vibe: Dramatic. Theme: Recovery & Healing. Product lock: NAD+ (V-NAD-001). Form: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp seal only. FORBIDDEN: black twist caps, screw caps, dropper bottles. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about NAD+ (V-NAD-001) and https://www.palmbeach-vitality.store/products/nad-1.,Active,7,,7,Dramatic,Recovery & Healing
LI-008,vid_gen_landscape_scenes,16:9,vial_10ml_scene,LI-008 — Abstract Cellular — PT-141,A pure white ceramic-capped vial next to a cloudy glass of water that suddenly becomes crystal clear,"16:9 landscape cinematic framing, deep environmental context",Cool mood lighting,"10mL sterile injectable-style glass vial of PT-141 with rubber stopper + aluminum crimp seal (NEVER black twist/screw cap); mid-ground in scene, not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)",V-PT1-001,PT-141,https://www.palmbeach-vitality.store/products/pt-141,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A pure white ceramic-capped vial next to a cloudy glass of water that suddenly becomes crystal clear, with fine gold leaf or particles adhering then releasing in slow motion. The environment feels charged, as if responding to the product's presence. Vibe: Cool. Theme: Abstract Cellular. Product lock: PT-141 (V-PT1-001). Form: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp seal only. FORBIDDEN: black twist caps, screw caps, dropper bottles. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about PT-141 (V-PT1-001) and https://www.palmbeach-vitality.store/products/pt-141.,Active,8,,8,Cool,Abstract Cellular
LI-009,vid_gen_landscape_scenes,16:9,lab_scene,LI-009 — Energy & Cellular Power — NAD+,A frosted glass bottle of cellular support on a smooth river stone while clear water flows in soft ribbons around it,"16:9 landscape cinematic framing, deep environmental context",Dramatic mood lighting,scene product lock via typography / subtle mid-ground research material; no extreme close-up packshot,,V-NAD-001,NAD+,https://www.palmbeach-vitality.store/products/nad-1,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A frosted glass bottle of cellular support on a smooth river stone while clear water flows in soft ribbons around it, as surrounding particles are drawn inward like gravity. Soft volumetric god-rays cut through the scene. Vibe: Dramatic. Theme: Energy & Cellular Power. Product lock: NAD+ (V-NAD-001). Form: research catalog material. Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about NAD+ (V-NAD-001) and https://www.palmbeach-vitality.store/products/nad-1.,Active,9,,9,Dramatic,Energy & Cellular Power
LI-010,vid_gen_landscape_scenes,16:9,vial_10ml_scene,LI-010 — Beach & Ocean — Selank,A crystal-clear recovery vial beside an hourglass where the sand begins flowing upward,"16:9 landscape cinematic framing, deep environmental context",Funny mood lighting,"10mL sterile injectable-style glass vial of Selank with rubber stopper + aluminum crimp seal (NEVER black twist/screw cap); mid-ground in scene, not extreme macro","10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap)",V-SEL-001,Selank,https://www.palmbeach-vitality.store/products/selank,"LANDSCAPE SCENE (16:9) for workflow vid_gen_landscape_scenes. Source visual+motion: A crystal-clear recovery vial beside an hourglass where the sand begins flowing upward, while a much larger empty bottle tips over dramatically and the small one stays still. Time-lapse growth and repair happens in the periphery only. Vibe: Funny. Theme: Beach & Ocean. Product lock: Selank (V-SEL-001). Form: 10mL sterile injectable-style glass vial with rubber stopper and aluminum crimp seal (NOT screw-cap, NOT black twist cap). Camera: 16:9 landscape cinematic framing, deep environmental context. Keep product as part of a full environmental scene — not an isolated void packshot. VIAL SPEC: 10mL sterile injectable-style clear glass vial, rubber stopper + aluminum crimp seal only. FORBIDDEN: black twist caps, screw caps, dropper bottles. SIGNAGE RULE: premium clean research lab only. No safety placards, no industrial alert graphics, no trefoil icons, no striped floor tape, no danger banners. Do not print alert words on walls, floors, labels, or posters. Only neutral room names and product typography.",Captions MUST be only about Selank (V-SEL-001) and https://www.palmbeach-vitality.store/products/selank.,Active,10,,10,Funny,Beach & Ocean
